122.167.239.107 - - [04/Jul/2016:14:23:55 -0400] "GET /app/uploads/2016/01/app-founders-and-team-350.png HTTP/1.1" 200 9712 "http://prod.abc.co/about-us/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"
122.167.239.107 - - [04/Jul/2016:14:23:55 -0400] "GET /app/uploads/2016/01/app-publications-350.png HTTP/1.1" 200 9139 "http://prod.abc.co/about-us/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"
91.196.50.33 - - [04/Jul/2016:15:18:36 -0400] "GET http://testp1.piwo.pila.pl/testproxy.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
46.37.83.131 - - [04/Jul/2016:20:46:44 -0400] "GET / HTTP/1.1" 301 5 "-" "curl/7.17.1 (mips-unknown-linux-gnu) libcurl/7.17.1 OpenSSL/0.9.8i zlib/1.2.3"
46.37.83.131 - - [04/Jul/2016:20:46:45 -0400] "GET / HTTP/1.1" 200 28715 "-" "curl/7.17.1 (mips-unknown-linux-gnu) libcurl/7.17.1 OpenSSL/0.9.8i zlib/1.2.3"
91.196.50.33 - - [04/Jul/2016:21:44:12 -0400] "GET http://testp1.piwo.pila.pl/testproxy.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
185.25.151.159 - - [05/Jul/2016:01:48:01 -0400] "GET http://testp1.piwo.pila.pl/testproxy.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
192.99.47.156 - - [05/Jul/2016:02:03:27 -0400] "\x16\x03\x01\x00\x7F\x01\x00\x00{\x03\x03\xF1jY\x86Z\x87\x17\xE4&X\x7F\x1D\xAC\xCDR\xAF\xB8S\x9D\x02P\xE7G\xD9C\x9A\x8E\xAC\xD3\x8E2\x81\x00\x00\x1C\xC0/\xC0+\xC00\xC0,\xC0\x13\xC0\x09\xC0\x14\xC0" 400 181 "-" "-"
192.99.47.156 - - [05/Jul/2016:02:03:29 -0400] "GET / HTTP/1.0" 301 0 "-" "-"
192.99.47.156 - - [05/Jul/2016:02:03:31 -0400] "GET / HTTP/1.1" 301 5 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
192.99.47.156 - - [05/Jul/2016:02:03:31 -0400] "GET / HTTP/1.1" 301 5 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
192.99.47.156 - - [05/Jul/2016:02:03:31 -0400] "GET / HTTP/1.1" 301 5 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
192.99.47.156 - - [05/Jul/2016:02:03:32 -0400] "GET / HTTP/1.1" 301 5 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
192.99.47.156 - - [05/Jul/2016:02:03:32 -0400] "GET /login.cgi HTTP/1.1" 404 4942 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
192.99.47.156 - - [05/Jul/2016:02:03:32 -0400] "GET / HTTP/1.1" 301 5 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
192.99.47.156 - - [05/Jul/2016:02:03:32 -0400] "GET /language/Swedish$%7BIFS%7D&&echo$%7BIFS%7DjLCk%3Ezpom&&tar$%7BIFS%7D/string.js HTTP/1.1" 404 4942 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
192.99.47.156 - - [05/Jul/2016:02:03:32 -0400] "GET /skin/frontend/default/default/css/styles.css HTTP/1.1" 404 4942 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4"
192.99.47.156 - - [05/Jul/2016:02:03:33 -0400] "GET /../../../../../../../mnt/mtd/zpom HTTP/1.1" 400 181 "-" "-"
192.99.47.156 - - [05/Jul/2016:02:03:34 -0400] "GET / HTTP/1.1" 200 9206 "http://46.101.88.165" "Go-http-client/1.1"
192.99.47.156 - - [05/Jul/2016:02:03:34 -0400] "GET / HTTP/1.1" 200 9206 "http://46.101.88.165" "Go-http-client/1.1"
192.99.47.156 - - [05/Jul/2016:02:03:34 -0400] "GET / HTTP/1.1" 200 9206 "http://46.101.88.165" "Go-http-client/1.1"
